"country","iso_country_code","year","civic_activism","se_civicactivism","intergroup_cohesion","se_intergroupcohesion","clubs_and_associations","se_clubsassociations","interpersonal_safety_and_trust","se_safetytrust","gender_equality","se_genderequality","inclusion","se_inclusion"
"Afghanistan","AFG","2010",0.4783796,0.0119795,0.331686,0.0258133,,,,,0.4272905,0.0301774,,
"Albania","ALB","2010",0.5054785,0.0152223,0.7121593,0.0064102,0.4414004,0.1069243,0.4407619,0.0380072,0.7735471,0.0274329,0.4777566,0.0075937
"Algeria","DZA","2010",0.4702127,0.0205479,0.6000249,0.0063951,0.5256384,,0.4075951,0.103704,0.6132583,0.026916,0.3891068,0.0123715
"American Samoa","ASM","2010",,,,,,,,,,,,
"Andorra","AND","2010",0.6246892,1.594E-4,,,0.5865179,,,,,,0.6272392,0.0138233
"Angola","AGO","2010",0.4453379,0.0263713,0.7035817,0.0066148,,,,,0.6398064,0.0518035,0.3443724,0.0129322
"Antigua and Barbuda","ATG","2010",,,,,,,,,0.7476539,0.0760564,,
"Argentina","ARG","2010",0.5324716,0.0164329,0.7274255,0.003737,0.4227101,0.0464424,0.3673457,0.0471398,0.882332,0.0579037,0.5379708,0.0168731
"Armenia","ARM","2010",0.4471763,0.0316221,0.7196763,0.0032257,0.3475014,,0.5659232,0.0582917,0.8587527,0.0518727,0.4889165,0.0186781
"Aruba","ABW","2010",,,,,,,,,0.9264187,0.0396856,,
"Australia","AUS","2010",0.6552913,0.0582106,0.7436885,0.0045432,0.5823432,0.0995039,0.5151305,0.0815883,0.8956786,0.0367696,0.5682566,0.0113536
"Austria","AUT","2010",0.581172,0.0248609,0.7679477,0.0053812,0.513332,0.0755831,0.5928499,0.0410453,0.8430825,0.0294137,0.5286817,0.009064
"Azerbaijan","AZE","2010",0.5258896,0.0515604,0.6657609,0.0043676,0.4522191,0.0136307,0.5213762,0.0897658,0.7415617,0.0599998,0.4792655,0.01132
"Bahamas, The","BHS","2010",0.571578,0.0833336,0.7472006,0.0053876,,,,,0.8221367,0.0352116,,
"Bahrain","BHR","2010",0.5112155,0.0307856,0.7056142,0.0062595,,,0.5370778,0.1020335,0.6149487,0.0518441,0.3956362,0.0396745
"Bangladesh","BGD","2010",0.4231464,0.0424398,0.4932584,0.0114853,0.6949251,,0.4230374,0.0694704,0.5972347,0.0110291,0.3607562,0.0109767
"Barbados","BRB","2010",0.5405292,0.0436673,,,,,,,0.8788525,0.0276918,,
"Belarus","BLR","2010",0.4887211,0.0105622,0.6972551,0.0028924,0.3889157,0.0278273,0.5407177,0.0612859,0.8762004,0.0361998,0.5033446,0.0173958
"Belgium","BEL","2010",0.6042103,0.0482877,0.7589362,0.0054459,0.5736268,0.1008571,0.6089576,0.0156411,0.7795402,0.0483542,0.5320152,0.0149119
"Belize","BLZ","2010",,,,,,,,,0.7286456,0.0474943,,
"Benin","BEN","2010",0.4976434,0.0039878,,,,,,,0.5698999,0.0592595,,
"Bermuda","BMU","2010",0.5615575,0.0447775,,,,,,,,,,
"Bhutan","BTN","2010",0.4234932,0.0592456,0.6713053,0.0107387,,,0.5687109,0.0109239,0.7185581,0.052317,,
"Bolivia","BOL","2010",0.5192223,0.011123,0.6095971,0.0072055,0.5064035,0.1122702,0.3962064,0.0460006,0.7445733,0.0269944,0.3997439,0.0102063
"Bosnia and Herzegovina","BIH","2010",0.5110117,0.028686,0.6769835,0.0064308,0.5058353,,0.4438751,0.0577046,0.9060876,0.0246355,0.4592718,0.0234661
"Botswana","BWA","2010",0.495667,0.0156028,0.7631928,0.0063473,0.4280647,0.0764809,0.3980689,0.0586103,0.7509608,0.1000822,0.4679979,0.0044952
"Brazil","BRA","2010",0.5239012,0.0199781,0.7034328,0.0053888,0.4920111,0.1137014,0.2855594,0.0451122,0.8642111,0.0310285,0.4224894,0.0133926
"Brunei Darussalam","BRN","2010",,,0.739654,0.0086269,,,,,0.7358515,0.0389153,,
"Bulgaria","BGR","2010",0.5210389,0.0134277,0.7132741,0.0133339,0.3749065,0.0040289,0.4402133,0.0514076,0.9117231,0.0248751,0.4798532,0.0135345
"Burkina Faso","BFA","2010",0.4809552,0.0294792,0.7122966,0.004621,0.4294628,0.2469117,0.3278024,0.0695187,0.6268421,0.059435,0.4550464,0.0262654
"Burundi","BDI","2010",0.4309321,0.0222687,0.629729,0.0086838,,,,,0.6603187,0.0964815,,
"Cambodia","KHM","2010",0.4317625,0.0038485,0.6698397,0.007328,0.8541453,,0.3573701,0.0603933,0.7658386,0.0564181,,
